,Title,Published_date,Views,Likes,Comments,Month
149,Subtracting integers  find the missing value | 7th grade | Khan Academy,2023-07-28,4065,75,7,Jul
150,Adding integers: find the missing value | 7th grade | Khan Academy,2023-07-28,3013,52,3,Jul
151,Adding the opposite with integer chips | 7th grade | Khan Academy,2023-07-27,5021,80,2,Jul
152,AI in Education: Opportunities + Pitfalls,2023-07-26,6047,78,7,Jul
153,Zero pairs worked example,2023-07-26,5785,60,2,Jul
154,Common percentages,2023-07-26,8276,168,11,Jul
155,Plotting inequalities on a number line | Equations & inequalities | 6th grade | Khan Academy,2023-07-26,3490,63,5,Jul
156,Signs of sums on a number line | Integers: Addition and subtraction | 7th grade | Khan Academy,2023-07-26,3682,66,3,Jul
157,Subtracting with integer chips | Integers: Addition and subtraction | 7th grade | Khan Academy,2023-07-26,5001,66,4,Jul
158,Boost Your Kids' Learning with Khanmigo!,2023-07-14,15059,416,0,Jul
159,How to Implement AI in Your Classroom,2023-07-10,13955,259,41,Jul
160,It is almost time for Camp Khan Kids 2023!,2023-06-30,18285,444,0,Jun
161,Welcome to high school biology | High school biology | Khan Academy,2023-06-26,19487,415,37,Jun
162,Come meet Khanmigo and the Khan Academy team in booth 1836! #istelive23,2023-06-26,12945,356,12,Jun
163,Khanmigo: Using Class Snapshot,2023-06-22,6096,95,10,Jun
164,Lesson Planning with Khanmigo,2023-06-22,3553,45,5,Jun
165,Introducing Khanmigo for teachers,2023-06-22,11520,108,7,Jun
166,Khanmigo for Districts,2023-06-21,6608,114,9,Jun
167,Paying yourself first | Budgeting & saving | Financial literacy | Khan Academy,2023-06-08,21271,466,18,Jun
168,Saving wisely: Emergency funds | Budgeting & saving | Financial literacy | Khan Academy,2023-06-08,16349,272,15,Jun
169,Why and how to save  | Budgeting & saving | Financial literacy | Khan Academy,2023-06-08,8006,185,3,Jun
170,What is the better deal? | Budgeting & saving | Financial literacy | Khan Academy,2023-06-08,5259,121,8,Jun
171,Budgeting and the 50:30:20 rule | Budgeting | Financial literacy | Khan Academy,2023-06-02,21331,590,39,Jun
172,How do you build a budget? | Budgeting | Financial literacy | Khan Academy,2023-06-02,17414,525,33,Jun
173,Combining mixtures example,2023-05-30,7414,119,14,May
174,"Teachers, say hello to Khanmigo from Khan Academy!",2023-05-19,30882,267,28,May
175,Learn coding from scratch with Khanmigo,2023-05-19,27589,0,10,May
176,Don't ban A.I.--let's fight together for GOOD A.I.,2023-05-17,30117,1305,38,May
