,Title,Published_date,Views,Likes,Comments,Month
1783,Who controls the world? - James B. Glattfelder,2013-05-15,262225,1572,136,May
1784,The brilliance of bioluminescence - Leslie Kenna,2013-05-15,2290938,20174,731,May
1785,Four sisters in Ancient Rome - Ray Laurence,2013-05-14,9746016,94005,3405,May
1786,Meet Shahruz Ghaemi,2013-05-14,17265,69,0,May
1787,A girl who demanded school - Kakenya Ntaiya,2013-05-13,22053,371,13,May
1788,Biofuels and bioprospecting for beginners - Craig A. Kohn,2013-05-13,112788,1506,133,May
1789,Your brain is more than a bag of chemicals - David Anderson,2013-05-12,27675,780,57,May
1790,Weaving narratives in museum galleries - Thomas P. Campbell,2013-05-11,9249,152,19,May
1791,Print your own medicine - Lee Cronin,2013-05-10,4714,77,17,May
1792,Averting the climate crisis - Al Gore,2013-05-10,63634,403,179,May
1793,Embrace the remix - Kirby Ferguson,2013-05-10,9180,236,12,May
1794,Can democracy exist without trust? - Ivan Krastev,2013-05-10,3052,66,5,May
1795,Mysteries of vernacular: Earwig - Jessica Oreck and Rachael Teel,2013-05-10,56866,492,35,May
1796,How giant sea creatures eat tiny sea creatures - Kelly Benoit-Bird,2013-05-09,64361,543,35,May
1797,How a fly flies - Michael Dickinson,2013-05-08,26886,395,48,May
1798,Meet Shayna Cody,2013-05-08,25461,327,0,May
1799,Meet Melissa Perez,2013-05-08,31455,427,0,May
1800,Meet Julia Delmedico,2013-05-08,38910,736,0,May
1801,Strange answers to the psychopath test - Jon Ronson,2013-05-07,140581,2481,141,May
1802,Archeology from space - Sarah Parcak,2013-05-07,23127,98,20,May
1803,Why is 'x' the unknown? - Terry Moore,2013-05-07,63442,850,43,May
1804,The journey across the high wire - Philippe Petit,2013-05-07,14697,279,15,May
1805,What's left to explore? - Nathan Wolfe,2013-05-07,3757,73,5,May
1806,Historical role models - Amy Bissetta,2013-05-07,85374,560,118,May
1807,The single biggest health threat women face - Noel Bairey Merz,2013-05-06,5574,60,7,May
1808,The mathematics of history - Jean-Baptiste Michel,2013-05-04,36916,658,64,May
1809,What happened to antimatter? - Rolf Landua,2013-05-03,1593091,31083,2995,May
1810,The basics of the Higgs boson - Dave Barney and Steve Goldfarb,2013-05-03,2186734,60464,1749,May
1811,Big Data - Tim Smith,2013-05-03,569412,5356,107,May
1812,Dark matter: The matter we can't see - James Gillies,2013-05-03,3046928,69379,2459,May
1813,How did feathers evolve? - Carl Zimmer,2013-05-02,722669,11884,1026,May
1814,Sometimes it's good to give up the driver's seat - Baba Shiv,2013-05-01,6501,77,9,May
1815,Mysteries of vernacular: Tuxedo - Jessica Oreck,2013-05-01,43577,703,47,May
1816,How do you know whom to trust? - Ram Neta,2013-04-30,986245,13069,637,Apr
1817,The dance of the dung beetle - Marcus Byrne,2013-04-29,6835,111,11,Apr
1818,A host of heroes - April Gudenrath,2013-04-29,254227,1842,112,Apr
1819,"Pool medical patents, save lives - Ellen 't Hoen",2013-04-28,7846,185,39,Apr
1820,A 40-year plan for energy - Amory Lovins,2013-04-27,56277,1300,186,Apr
1821,The optimism bias - Tali Sharot,2013-04-26,14989,347,27,Apr
1822,"404, the story of a page not found - Renny Gleeson",2013-04-26,32206,453,35,Apr
1823,Feats of memory anyone can do - Joshua Foer,2013-04-26,37926,708,32,Apr
1824,Music and emotion through time - Michael Tilson Thomas,2013-04-26,29660,282,30,Apr
1825,Tracking the trackers - Gary Kovacs,2013-04-26,4284,76,13,Apr
1826,Pavlovian reactions aren't just for dogs - Benjamin N. Witts,2013-04-26,147154,1405,51,Apr
1827,The search for other Earth-like planets - Olivier Guyon,2013-04-25,42026,737,90,Apr
1828,Let's teach kids to code - Mitch Resnick,2013-04-24,8242,151,35,Apr
1829,How much does a video weigh? - Michael Stevens of Vsauce,2013-04-24,616454,14478,1356,Apr
1830,Exciting news from TED-Ed...,2013-04-23,33901,502,49,Apr
1831,Making sense of how life fits together - Bobbi Seleski,2013-04-23,260825,2324,152,Apr
1832,Hey science teachers -- make it fun - Tyler DeWitt,2013-04-22,37604,1033,79,Apr
